ts,host,user,event,severity,ip,message,source
2026-07-31T05:16:51Z,OPS-64-dr.core.banking,svc_deploy,New-InboxRule,LOW,36.49.128.252,New-InboxRule: svc_deploy performed audit operation,office365
2026-07-10T06:39:58Z,TRADING-99-uat,svc_scanner_prod53,PROCTITLE,MEDIUM,88.218.68.31,PROCTITLE: svc_scanner_prod53 performed payment operation,auditd
2026-08-12T14:42:30Z,PROXY-99-prod.bank.internal,bjohnson,302015,MEDIUM,158.58.247.24,302015: bjohnson performed balance operation,cisco_asa
2026-09-04T22:43:51Z,COMP-02.core.banking,mtyler,Prevention,LOW,87.22.201.128,Prevention: mtyler performed transfer operation,crowdstrike
2027-01-20T22:28:06Z,AUDIT-59.financial.local,nicole_hart1,106001,LOW,40.34.188.141,106001: nicole_hart1 performed payment operation,cisco_asa
2026-05-24T21:34:18Z,CORE_BANK-10-prod,daniel_williams,CreateUser,HIGH,96.122.209.12,CreateUser: daniel_williams performed reconciliation operation,aws_cloudtrail
2026-05-10T10:27:53Z,,chatura_sem,Send,CRITICAL,10.69.163.81,Send: chatura_sem performed settlement operation,office365
2026-10-08T14:24:44Z,CRM-04-prod,luke.das,workflow_run,LOW,222.242.174.75,workflow_run: luke.das performed swift operation,github_actions
2026-10-10T06:19:02Z,APP-22.bank.internal,tracey_romero,4688,LOW,219.75.153.249,"A new process was created. Process: systemd, Command line: ps aux | grep -v grep",windows_security
18/1/2020,PAYMENT-26,austin_sehgal,106023,LOW,10.148.53.120,106023: austin_sehgal performed transfer operation,cisco_asa
2026-11-05T08:13:30Z,ATM-63,ychada,Blocked,LOW,192.168.130.110,Blocked: ychada performed audit operation,sentinel_one
2027-01-08T03:22:28Z,DB-99,msaunders,Audit,CRITICAL,192.168.226.24,Audit log: delete performed by msaunders,azure_ad
2026-10-17T00:36:54Z,ATM-23-prod,svc_scanner_prod,302015,MEDIUM,157.28.144.208,302015: svc_scanner_prod performed audit operation,cisco_asa
2026-05-27T18:23:34Z,COMP-69,leigh_dutt,4648,LOW,111.192.167.79,4648: leigh_dutt performed settlement operation,windows_security
2027-02-18T23:09:05Z,PROXY-99,trading_user,1,CRITICAL,1.43.254.219,Process creation: lsass.exe with command line: netstat -tulpn | grep LISTEN,sysmon
2026-12-08T20:33:08Z,WEB-44.core.banking,pooja_little,CreateAccessKey,CRITICAL,,CreateAccessKey: pooja_little performed reconciliation operation,aws_cloudtrail
,DC-23.bank.internal,compliance,shell_in_container,LOW,140.108.5.211,shell_in_container: compliance performed balance operation,falco
2026-07-29T07:40:42Z,COMP-50-dr,bdillon,302015,MEDIUM,192.168.92.128,302015: bdillon performed transfer operation,cisco_asa
2026-08-14T04:12:39Z,OPS-38-sandbox,svc_audit_prod94,URL,LOW,10.108.67.131,URL: svc_audit_prod94 performed transaction operation,palo_alto
2026-11-14T07:57:34Z,HR-19,svc_reporting_prod,ConsoleLogin,LOW,,ConsoleLogin: svc_reporting_prod performed payment operation,aws_cloudtrail
18/3/2020,ATM-07-uat.bank.internal,svc_deploy_prod,4672,MEDIUM,192.168.84.113,4672: svc_deploy_prod performed reconciliation operation,windows_security
2027-01-08T19:35:23Z,CORE_BANK-22,mdiaz,SYSCALL,MEDIUM,112.140.88.99,SYSCALL: mdiaz performed reconciliation operation,auditd
